CASEID,EVRMARRY,ONOWN,ONOWN18,PARMARR,INTACT18,MOMFSTCH,EVERSEX,GRFSTSX,SEDBC,PTSB4MAR,USEFSTSX,MTHFSTSX1,RELRAISD,ATTND14,AGER,HIEDUC,RACE,MAR1CON1,B1PREMAR,VRY1STAG,LIFPRTNR,SEX1MTHD1,RELIGION,LABORFOR,TOTINCR,topics_discussed_count,discuss_topic1,discuss_topic2,discuss_topic3,discuss_topic4,discuss_topic5,discuss_topic6,discuss_topic8,premarital
82112,NEVER MARRIED,Yes,Yes,Yes,No,18-19 YEARS,,8th grade,No,,NO,,Other religion,Never,21 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,12,16,Did not use a method at 1st intercourse,OTHER RELIGIONS,Other,"$10,000-$12,499",3,0,1,1,1,0,0,0,
82115,EVER MARRIED,Yes,Yes,Yes,No,LESS THAN 18 YEARS,,8th grade,Yes,5 PARTNERS,NO,,"Methodist, Lutheran, Presbyterian, Episcopal",More than once a week,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,First conception before marriage,YES,14,5 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Working full-time,$5000-$7499,1,0,0,0,0,0,0,1,1
82116,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,Yes,,Yes,,YES,Birth control pills,No religion,Never,24 YEARS,BACHELOR'S DEGREE,BLACK,,,18,3 PARTNERS,Pill,NO RELIGION,Working full-time,"$60,000-$74,999",1,0,0,0,0,0,0,1,1
82126,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,Yes,11th grade,Yes,,YES,Condom,No religion,Never,24 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,BLACK,,,16,5 PARTNERS,Condom,NO RELIGION,Working part-time,"$30,000-$34,999",4,0,1,1,1,0,0,1,1
82129,NEVER MARRIED,No,No,Yes,No,18-19 YEARS,Yes,,Yes,,YES,Birth control pills,"Methodist, Lutheran, Presbyterian, Episcopal",More than once a week,22 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,20,8 PARTNERS,Pill,PROTESTANT,Working part-time,"$10,000-$12,499",5,0,1,1,1,1,1,0,1
82141,NEVER MARRIED,Yes,Yes,Don't know,Yes,Don't know,No,,No,,,,Other religion,Once a week,18 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,,NONE,,NO RELIGION,Other,Under $5000,0,0,0,0,0,0,0,0,0
82160,NEVER MARRIED,No,No,No,No,25-29 YEARS,No,,Yes,,,,Catholic,Once a week,15 YEARS,9TH GRADE OR LESS,OTHER,,,,NONE,,CATHOLIC,"Working, but on vacation, strike, or had temporary illness","$100,000 or more",6,1,1,0,1,1,1,1,0
82161,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,No,,,,Other religion,Once or twice a year,21 YEARS,SOME COLLEGE BUT NO DEGREE,OTHER,,,,NONE,,OTHER RELIGIONS,In school,$7500-$9999,0,0,0,0,0,0,0,0,0
82163,NEVER MARRIED,Yes,Yes,No,No,LESS THAN 18 YEARS,,9th grade,Yes,,YES,Condom,Baptist/Southern Baptist,Once a week,24 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,14,4 PARTNERS,Condom,PROTESTANT,Working full-time,"$15,000-$19,999",2,1,1,0,0,0,0,0,
82164,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,No,,No,,,,Protestant - No specific denomination,More than once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,In school,"$20,000-$24,999",4,1,0,0,1,1,0,1,0
82169,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,No,,No,,,,Baptist/Southern Baptist,More than once a week,17 YEARS,11TH GRADE,WHITE,,,,NONE,,PROTESTANT,In school,$7500-$9999,3,1,1,1,0,0,0,0,0
82176,NEVER MARRIED,Yes,Yes,Yes,No,25-29 YEARS,No,,No,,,,"Methodist, Lutheran, Presbyterian, Episcopal",More than once a week,16 YEARS,10TH GRADE,WHITE,,,,NONE,,PROTESTANT,Other,"$100,000 or more",2,1,0,0,0,0,0,1,0
82180,NEVER MARRIED,No,No,Yes,Yes,Don't know,,,Yes,,NO,,Protestant - No specific denomination,More than once a week,23 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,WHITE,"Has been pregnant, but has never been married",YES,20,2 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Working full-time,"$50,000-$59,999",0,0,0,0,0,0,0,0,
82183,EVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,,10th grade,,DON'T KNOW,YES,Birth control pills,Catholic,,25 YEARS,BACHELOR'S DEGREE,WHITE,First conception before marriage,YES,15,20,Pill,NO RELIGION,Working part-time,"$60,000-$74,999",0,0,0,0,0,0,0,0,
82186,NEVER MARRIED,Yes,Yes,Yes,No,LESS THAN 18 YEARS,,8th grade,Yes,,YES,Birth control pills,No religion,Never,23 YEARS,10TH GRADE,WHITE,,,13,7 PARTNERS,Pill,NO RELIGION,Working full-time,"$40,000-$49,999",2,0,1,1,0,0,0,0,
82196,NEVER MARRIED,No,No,Yes,Yes,LESS THAN 18 YEARS,,,Yes,,YES,"Depo-Provera, injectables",Baptist/Southern Baptist,Once a week,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,"Has been pregnant, but has never been married",,19,2 PARTNERS,"Depo-Provera, injectables",PROTESTANT,Working part-time,"$25,000-$29,999",7,1,1,1,1,1,1,1,
82204,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,,,Yes,,YES,Birth control pills,Protestant - No specific denomination,Never,22 YEARS,MASTER'S DEGREE,WHITE,,,18,4 PARTNERS,Pill,PROTESTANT,Other,"$100,000 or more",6,1,1,1,1,1,1,0,
82227,EVER MARRIED,No,No,No,No,20-24 YEARS,,10th grade,No,2 PARTNERS,YES,Condom,Protestant - No specific denomination,Once a week,22 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,BLACK,0-12 months,,16,3 PARTNERS,Condom,PROTESTANT,Working part-time,"$15,000-$19,999",6,0,1,1,1,1,1,1,1
82230,NEVER MARRIED,No,No,No,Yes,LESS THAN 18 YEARS,No,,No,,,,Catholic,Once a week,17 YEARS,11TH GRADE,WHITE,,,,NONE,,PROTESTANT,In school,"$50,000-$59,999",7,1,1,1,1,1,1,1,0
82237,NEVER MARRIED,No,No,No,No,20-24 YEARS,,11th grade,No,,YES,Condom,Protestant - No specific denomination,2-3 times a month,23 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,"Has been pregnant, but has never been married",YES,17,3 PARTNERS,Condom,PROTESTANT,Working full-time,"$20,000-$24,999",7,1,1,1,1,1,1,1,
82238,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,Yes,,,,Catholic,Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,In school,"$15,000-$19,999",7,1,1,1,1,1,1,1,0
82257,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,Yes,12th grade,Yes,,NO,,Protestant - No specific denomination,Once a month (about 12 times a year),20 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,WHITE,,,17,3 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Working part-time,"$50,000-$59,999",6,1,1,0,1,1,1,1,1
82259,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,No,,,,Protestant - No specific denomination,2-3 times a month,17 YEARS,10TH GRADE,BLACK,,,,NONE,,PROTESTANT,Working part-time,"$60,000-$74,999",4,1,1,0,1,0,0,1,0
82263,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,Yes,10th grade,Yes,,NO,,Other religion,Once a week,18 YEARS,11TH GRADE,WHITE,,,16,5 PARTNERS,Did not use a method at 1st intercourse,OTHER RELIGIONS,In school,"$40,000-$49,999",5,1,1,0,1,1,0,1,1
82270,NEVER MARRIED,No,No,No,No,20-24 YEARS,No,,Yes,,,,Protestant - No specific denomination,Never,16 YEARS,9TH GRADE OR LESS,BLACK,,,,NONE,,NO RELIGION,In school,"$100,000 or more",0,0,0,0,0,0,0,0,0
82282,NEVER MARRIED,Yes,Yes,No,No,18-19 YEARS,,10th grade,Yes,,NO,,Protestant - No specific denomination,Once or twice a year,21 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",,15,8 PARTNERS,Did not use a method at 1st intercourse,PROTESTANT,Working part-time,"$50,000-$59,999",0,0,0,0,0,0,0,0,
82293,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,Yes,7th grade,Yes,,YES,Condom,Catholic,2-3 times a month,16 YEARS,9TH GRADE OR LESS,WHITE,,,13,3 PARTNERS,Condom,CATHOLIC,In school,"$20,000-$24,999",1,0,1,0,0,0,0,0,1
82308,NEVER MARRIED,No,No,No,No,18-19 YEARS,,9th grade,Yes,,YES,Birth control pills,Catholic,Never,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,15,8 PARTNERS,Pill,NO RELIGION,Working full-time,"$25,000-$29,999",3,0,1,0,1,0,1,0,
82322,NEVER MARRIED,No,No,No,No,18-19 YEARS,Yes,,No,,YES,Condom,Protestant - No specific denomination,More than once a week,19 YEARS,11TH GRADE,BLACK,,,18,1 PARTNER,Condom,PROTESTANT,Not working but looking for work,"$15,000-$19,999",7,1,1,1,1,1,1,1,1
82327,NEVER MARRIED,No,No,No,No,18-19 YEARS,,,No,,YES,Condom,No religion,Never,24 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,18,25,Condom,NO RELIGION,In school,"$10,000-$12,499",6,1,1,1,1,1,1,0,
82328,NEVER MARRIED,Yes,Yes,No,No,,Yes,11th grade,Yes,,YES,Condom,Catholic,Once a week,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,16,4 PARTNERS,Condom,PROTESTANT,Working full-time,"$60,000-$74,999",4,1,0,0,1,0,1,1,1
82334,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Catholic,Never,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,NO RELIGION,Working part-time,"$60,000-$74,999",1,0,0,0,0,0,0,1,0
82336,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,Yes,,No,,YES,Birth control pills,Baptist/Southern Baptist,Once a week,20 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,20,1 PARTNER,Pill,PROTESTANT,Working part-time,"$35,000-$39,999",7,1,1,1,1,1,1,1,1
82340,NEVER MARRIED,No,No,No,No,MOTHER OR MOTHER-FIGURE DID NOT HAVE ANY CHILDREN,,9th grade,No,,YES,Condom,Catholic,Once a week,17 YEARS,9TH GRADE OR LESS,WHITE,"Has been pregnant, but has never been married",,15,2 PARTNERS,Condom,CATHOLIC,In school,"$25,000-$29,999",3,0,1,1,1,0,0,0,
82361,NEVER MARRIED,Yes,Yes,No,No,LESS THAN 18 YEARS,,9th grade,Yes,,YES,Condom,Fundamentalist Protestant,More than once a week,22 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,"Has been pregnant, but has never been married",YES,15,16,Condom,NO RELIGION,Working full-time,"$25,000-$29,999",4,1,0,0,1,1,0,1,
82362,NEVER MARRIED,No,No,No,Yes,LESS THAN 18 YEARS,,7th grade,,,NO,,Catholic,,25 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,13,1 PARTNER,Did not use a method at 1st intercourse,CATHOLIC,Keeping house,"$20,000-$24,999",0,0,0,0,0,0,0,0,
82369,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,Yes,11th grade,Yes,,YES,"Withdrawal, pulling out",Fundamentalist Protestant,2-3 times a month,19 YEARS,SOME COLLEGE BUT NO DEGREE,BLACK,,,17,9 PARTNERS,Withdrawal,NO RELIGION,Working part-time,"$100,000 or more",3,1,0,0,0,0,1,1,1
82389,NEVER MARRIED,Yes,Yes,No,No,LESS THAN 18 YEARS,,,,,YES,Birth control pills,No religion,,25 YEARS,BACHELOR'S DEGREE,BLACK,,,18,20,Pill,NO RELIGION,Working full-time,"$12,500-$14,999",0,0,0,0,0,0,0,0,
82390,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,Yes,10th grade,No,,NO,,Catholic,Once or twice a year,21 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,WHITE,,,16,16,Did not use a method at 1st intercourse,PROTESTANT,Working part-time,"$50,000-$59,999",2,1,0,1,0,0,0,0,1
82393,NEVER MARRIED,No,No,Yes,Yes,18-19 YEARS,Yes,8th grade,Yes,,NO,,No religion,Never,16 YEARS,10TH GRADE,WHITE,,,13,5 PARTNERS,Did not use a method at 1st intercourse,NO RELIGION,Working part-time,"$100,000 or more",5,0,1,1,1,1,1,0,1
82394,NEVER MARRIED,No,No,No,No,20-24 YEARS,,9th grade,Yes,,NO,,No religion,Never,18 YEARS,11TH GRADE,WHITE,"Has been pregnant, but has never been married",YES,15,1 PARTNER,Did not use a method at 1st intercourse,NO RELIGION,Caring for family,"$15,000-$19,999",2,0,1,0,0,1,0,0,
82403,NEVER MARRIED,,Yes,No,No,Don't know,,11th grade,Yes,,YES,Condom,Other religion,More than once a week,17 YEARS,10TH GRADE,BLACK,"Has been pregnant, but has never been married",,16,1 PARTNER,Condom,OTHER RELIGIONS,Other,"$25,000-$29,999",7,1,1,1,1,1,1,1,
82404,NEVER MARRIED,No,No,Yes,No,30 OR OLDER,Yes,10th grade,Yes,,YES,Condom,Catholic,3-11 times a year,17 YEARS,11TH GRADE,WHITE,,,14,4 PARTNERS,Condom,CATHOLIC,In school,"$35,000-$39,999",3,1,0,0,1,0,0,1,1
82407,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,Yes,,,,Baptist/Southern Baptist,Never,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,NO RELIGION,Keeping house,"$50,000-$59,999",5,1,1,0,1,1,1,0,0
82412,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Catholic,Once or twice a year,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,NO RELIGION,Working part-time,"$40,000-$49,999",0,0,0,0,0,0,0,0,0
82418,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,,,,,YES,Condom,Other religion,,25 YEARS,BACHELOR'S DEGREE,OTHER,,,18,4 PARTNERS,Condom,OTHER RELIGIONS,Working full-time,"$60,000-$74,999",0,0,0,0,0,0,0,0,
82419,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,Yes,,,,Catholic,2-3 times a month,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,CATHOLIC,In school,"$75,000-$99,999",6,1,1,0,1,1,1,1,0
82427,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,Yes,,Yes,,YES,Condom,Catholic,Once or twice a year,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,18,7 PARTNERS,Condom,NO RELIGION,In school,"$20,000-$24,999",0,0,0,0,0,0,0,0,1
82429,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,Yes,9th grade,No,,YES,Condom,Fundamentalist Protestant,Once a week,18 YEARS,11TH GRADE,WHITE,,,15,3 PARTNERS,Condom,PROTESTANT,Working part-time,Under $5000,4,0,1,1,1,1,0,0,1
82436,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,,9th grade,Yes,,YES,Birth control pills,No religion,Never,25 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,14,8 PARTNERS,Pill,NO RELIGION,Keeping house,"$50,000-$59,999",4,0,1,0,1,1,1,0,
82438,NEVER MARRIED,No,No,No,No,18-19 YEARS,No,,No,,,,Protestant - No specific denomination,More than once a week,15 YEARS,9TH GRADE OR LESS,BLACK,,,,NONE,,PROTESTANT,In school,"$50,000-$59,999",2,0,0,0,1,0,0,1,0
82442,NEVER MARRIED,No,No,Yes,Yes,18-19 YEARS,,Not in school,,,NO,,Catholic,,25 YEARS,11TH GRADE,WHITE,"Has been pregnant, but has never been married",YES,17,2 PARTNERS,Did not use a method at 1st intercourse,CATHOLIC,Working part-time,$5000-$7499,0,0,0,0,0,0,0,0,
82444,NEVER MARRIED,No,No,No,Yes,25-29 YEARS,,,,,YES,Condom,Baptist/Southern Baptist,,25 YEARS,BACHELOR'S DEGREE,BLACK,"Has been pregnant, but has never been married",YES,18,2 PARTNERS,Condom,PROTESTANT,Working full-time,"$40,000-$49,999",0,0,0,0,0,0,0,0,
82445,NEVER MARRIED,No,No,Yes,No,20-24 YEARS,No,,Yes,,,,Baptist/Southern Baptist,More than once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,Working full-time,"$50,000-$59,999",6,1,1,1,1,1,0,1,0
82446,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,Yes,10th grade,No,,YES,Condom,Catholic,2-3 times a month,19 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,15,7 PARTNERS,Condom,NO RELIGION,Working full-time,"$40,000-$49,999",1,1,0,0,0,0,0,0,1
82462,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Catholic,Once a week,16 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,CATHOLIC,In school,"$12,500-$14,999",6,1,1,0,1,1,1,1,0
82480,NEVER MARRIED,No,No,No,No,30 OR OLDER,No,,Yes,,,,"Methodist, Lutheran, Presbyterian, Episcopal",Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,PROTESTANT,In school,"$30,000-$34,999",2,0,0,0,1,0,0,1,0
82494,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Other religion,Once a week,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,OTHER RELIGIONS,In school,"$60,000-$74,999",5,1,1,1,1,1,0,0,0
82495,NEVER MARRIED,No,No,No,No,25-29 YEARS,No,,Yes,,,,No religion,3-11 times a year,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,NO RELIGION,Keeping house,"$100,000 or more",3,0,0,1,1,1,0,0,0
82510,NEVER MARRIED,No,No,No,No,20-24 YEARS,No,,Yes,,,,Catholic,2-3 times a month,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,PROTESTANT,Working full-time,"$25,000-$29,999",0,0,0,0,0,0,0,0,0
82513,NEVER MARRIED,Yes,Yes,Yes,No,20-24 YEARS,,7th grade,Yes,,NO,,No religion,Never,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,"Has been pregnant, but has never been married",YES,13,25,Did not use a method at 1st intercourse,PROTESTANT,Working full-time,"$40,000-$49,999",5,0,1,1,1,1,1,0,
82529,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,No,,Yes,,,,Catholic,More than once a week,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,CATHOLIC,In school,"$10,000-$12,499",3,0,1,0,1,0,0,1,0
82540,NEVER MARRIED,No,No,No,No,25-29 YEARS,No,,Yes,,,,No religion,Once or twice a year,15 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,NO RELIGION,In school,"$60,000-$74,999",4,1,0,0,1,0,1,1,0
82542,NEVER MARRIED,Yes,Yes,No,Yes,20-24 YEARS,No,,Yes,,,,Catholic,2-3 times a month,20 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,,NONE,,CATHOLIC,Working part-time,"$50,000-$59,999",6,0,1,1,1,1,1,1,0
82544,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,,10th grade,Yes,,YES,Birth control pills,Catholic,Once or twice a year,18 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,15,2 PARTNERS,Pill,NO RELIGION,In school,"$60,000-$74,999",7,1,1,1,1,1,1,1,
82548,NEVER MARRIED,Yes,Yes,Yes,No,LESS THAN 18 YEARS,,8th grade,No,,YES,Condom,Baptist/Southern Baptist,Never,21 YEARS,10TH GRADE,BLACK,"Has been pregnant, but has never been married",,14,10,Condom,PROTESTANT,Working full-time,"$25,000-$29,999",7,1,1,1,1,1,1,1,
82561,NEVER MARRIED,Yes,Yes,Yes,No,30 OR OLDER,,7th grade,,,YES,Condom,Baptist/Southern Baptist,,25 YEARS,10TH GRADE,WHITE,"Has been pregnant, but has never been married",YES,14,11,Condom,PROTESTANT,Not working but looking for work,"$20,000-$24,999",0,0,0,0,0,0,0,0,
82568,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,Yes,,No,,YES,Condom,Other Protestant denomination,Never,23 YEARS,11TH GRADE,WHITE,,,21,1 PARTNER,Condom,PROTESTANT,Other,$5000-$7499,0,0,0,0,0,0,0,0,1
82571,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,No,,Yes,,,,Catholic,Once a week,16 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,CATHOLIC,In school,"$12,500-$14,999",2,1,0,0,0,0,0,1,0
82582,NEVER MARRIED,No,No,Yes,No,18-19 YEARS,,9th grade,Yes,,YES,Condom,Catholic,Once a week,22 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,"Has been pregnant, but has never been married",,15,7 PARTNERS,Condom,CATHOLIC,Working full-time,"$20,000-$24,999",4,1,1,1,0,0,0,1,
82586,NEVER MARRIED,No,No,No,Yes,20-24 YEARS,No,,No,,,,Baptist/Southern Baptist,Once a week,19 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,,,,NONE,,PROTESTANT,Working part-time,"$40,000-$49,999",0,0,0,0,0,0,0,0,0
82589,NEVER MARRIED,Yes,Yes,No,No,,,9th grade,Yes,,NO,,"Methodist, Lutheran, Presbyterian, Episcopal",Once or twice a year,23 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,"Has been pregnant, but has never been married",YES,15,8 PARTNERS,Did not use a method at 1st intercourse,OTHER RELIGIONS,Working part-time,"$25,000-$29,999",0,0,0,0,0,0,0,0,
82590,EVER MARRIED,Yes,Yes,Yes,Yes,18-19 YEARS,,9th grade,,6 PARTNERS,YES,Condom,Fundamentalist Protestant,,25 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,0-12 months,NO,13,10,Condom,PROTESTANT,Working part-time,$5000-$7499,0,0,0,0,0,0,0,0,1
82609,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,Yes,,,,No religion,Never,17 YEARS,11TH GRADE,WHITE,,,,NONE,,NO RELIGION,In school,"$15,000-$19,999",2,0,0,0,0,1,0,1,0
82612,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,No,,,,No religion,Never,16 YEARS,9TH GRADE OR LESS,WHITE,,,,NONE,,NO RELIGION,In school,"$50,000-$59,999",2,1,0,0,0,0,1,0,0
82613,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,No,,Yes,,,,Fundamentalist Protestant,Once a week,17 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),WHITE,,,,NONE,,NO RELIGION,Keeping house,"$10,000-$12,499",4,1,1,1,0,0,1,0,0
82617,EVER MARRIED,No,No,Yes,No,Don't know,,9th grade,Yes,4 PARTNERS,YES,Condom,Catholic,Once a week,23 YEARS,ASSOCIATE DEGREE IN COLLEGE/UNIVERSITY,WHITE,0-12 months,NO,14,4 PARTNERS,Condom,CATHOLIC,Working full-time,"$40,000-$49,999",1,0,0,0,0,0,0,1,1
82621,NEVER MARRIED,No,No,Yes,Yes,25-29 YEARS,Yes,11th grade,Yes,,YES,Condom,Catholic,More than once a week,20 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,17,1 PARTNER,Condom,CATHOLIC,Working full-time,"$75,000-$99,999",5,1,1,0,1,1,0,1,1
82624,NEVER MARRIED,No,No,No,No,25-29 YEARS,,9th grade,Yes,,YES,Condom,Catholic,Once or twice a year,22 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,"Has been pregnant, but has never been married",,15,5 PARTNERS,Condom,CATHOLIC,Working part-time,"$100,000 or more",3,0,1,0,1,0,1,0,
82626,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,Yes,10th grade,Yes,,NO,,Catholic,More than once a week,19 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,,,16,4 PARTNERS,Did not use a method at 1st intercourse,CATHOLIC,Working full-time,"$15,000-$19,999",6,0,1,1,1,1,1,1,1
82629,NEVER MARRIED,Yes,Yes,No,No,30 OR OLDER,,,Yes,,YES,Condom,"Methodist, Lutheran, Presbyterian, Episcopal",Once a week,24 YEARS,HIGH SCHOOL GRADUATE (DIPLOMA OR GED),BLACK,,,18,2 PARTNERS,Condom,PROTESTANT,Not working but looking for work,"$30,000-$34,999",5,1,1,0,1,0,1,1,
82632,NEVER MARRIED,No,No,Yes,Yes,30 OR OLDER,Yes,9th grade,Yes,,YES,Condom,Baptist/Southern Baptist,Once or twice a year,18 YEARS,10TH GRADE,BLACK,,,15,3 PARTNERS,Condom,PROTESTANT,Working full-time,"$20,000-$24,999",7,1,1,1,1,1,1,1,1
82638,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,Yes,7th grade,Yes,,NO,,No religion,Never,18 YEARS,11TH GRADE,WHITE,,,14,4 PARTNERS,Did not use a method at 1st intercourse,NO RELIGION,Working part-time,Under $5000,7,1,1,1,1,1,1,1,1
82643,NEVER MARRIED,No,No,No,No,,No,,Yes,,,,No religion,Once or twice a year,17 YEARS,11TH GRADE,WHITE,,,,NONE,,PROTESTANT,Keeping house,"$50,000-$59,999",5,1,1,0,1,1,0,1,0
82657,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,No,,Yes,,,,Other religion,More than once a week,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,,NONE,,OTHER RELIGIONS,Working part-time,"$75,000-$99,999",2,0,0,0,1,0,0,1,0
82666,NEVER MARRIED,No,No,Yes,Yes,20-24 YEARS,Yes,11th grade,No,,YES,Condom,No religion,Never,20 YEARS,SOME COLLEGE BUT NO DEGREE,OTHER,,,16,1 PARTNER,Condom,NO RELIGION,Other,"$50,000-$59,999",7,1,1,1,1,1,1,1,1
82669,NEVER MARRIED,No,No,Yes,No,LESS THAN 18 YEARS,,9th grade,Yes,,NO,,Catholic,Never,16 YEARS,10TH GRADE,WHITE,"Has been pregnant, but has never been married",YES,14,1 PARTNER,Did not use a method at 1st intercourse,CATHOLIC,In school,Under $5000,1,1,0,0,0,0,0,0,
82670,NEVER MARRIED,No,No,Yes,Yes,LESS THAN 18 YEARS,Yes,9th grade,Yes,,YES,Condom,Baptist/Southern Baptist,Once a week,21 YEARS,11TH GRADE,BLACK,,,16,4 PARTNERS,Condom,PROTESTANT,Not working but looking for work,Under $5000,5,1,0,1,1,1,1,0,1
82671,NEVER MARRIED,No,No,Yes,No,25-29 YEARS,Yes,11th grade,Yes,,YES,Birth control pills,"Methodist, Lutheran, Presbyterian, Episcopal",2-3 times a month,21 YEARS,SOME COLLEGE BUT NO DEGREE,WHITE,,,17,2 PARTNERS,Pill,PROTESTANT,"Working, but on vacation, strike, or had temporary illness","$75,000-$99,999",4,0,1,0,1,1,0,1,1
